Rank,Institutions,Lat,Long,City,State,State_Abbreviation,Intl_Students
1,New York University,40.729513,-73.996461,New York,New York,NY,24496
2,Northeastern University - Boston,42.339806,-71.089171,Boston,Massachusetts,MA,20637
3,Columbia University,40.807536,-73.962573,New York,New York,NY,19001
4,Arizona State University - Campus Immersion,33.4167,-111.9346,Tempe,Arizona,AZ,17981
5,University of Southern California,34.0219,-118.4814,Los Angeles,California,CA,17264
6,University of Illinois - Urbana-Champaign,40.101952,-88.227161,Champaign,Illinois,IL,14680
7,Boston University,42.3505,-71.1054,Boston,Massachusetts,MA,13281
8,Purdue University - West Lafayette,40.423705,-86.921194,West Lafayette,Indiana,IN,11872
9,University of California - Berkeley,37.8719,-122.2585,Berkeley,California,CA,11719
10,University of California - San Diego,32.8801,-117.234,La Jolla,California,CA,10431
11,University of Michigan - Ann Arbor,42.278,-83.7382,Ann Arbor,Michigan,MI,10411
12,University of Washington,47.6553,-122.3035,Seattle,Washington,WA,10198
13,University of California - Los Angeles,34.0689,-118.4452,Los Angeles,California,CA,9725
14,University of Texas - Dallas,32.9866,-96.7515,Richardson,Texas,TX,9582
15,Johns Hopkins University,39.3308,-76.6205,Baltimore,Maryland,MD,9322
16,Pennsylvania State University - University Park,40.7982,-77.8599,University Park,Pennsylvania,PA,9161
17,Carnegie Mellon University,40.4432,-79.9435,Pittsburgh,Pennsylvania,PA,9009
18,University of California - Irvine,33.6405,-117.8443,Irvine,California,CA,8984
19,University of Pennsylvania,39.9526,-75.1652,Philadelphia,Pennsylvania,PA,8614
20,University of Wisconsin - Madison,43.0751,-89.4042,Massachusettsdison,Wisconsin,WI,8567
21,Cornell University,42.4472,-76.4831,IthaCalifornia,New York,NY,8403
22,University of North Texas,33.2148,-97.1331,Denton,Texas,TX,8200
23,SUNew York University at Buffalo,43.0006,-78.7877,Buffalo,New York,NY,7696
24,Georgia Institute of Technology,33.7756,-84.3963,Atlanta,Georgia,GA,7671
25,University of California - Davis,38.5382,-121.7617,Davis,California,CA,7621
